Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,16073,1969,12,05,3.8,1,Y
IDCJAC0009,16073,1969,12,06,24.4,1,Y
IDCJAC0009,16073,1969,12,07,0.0,,Y
IDCJAC0009,16073,1969,12,08,0.0,,Y
IDCJAC0009,16073,1969,12,09,0.0,,Y
IDCJAC0009,16073,1969,12,10,0.0,,Y
IDCJAC0009,16073,1969,12,11,0.0,,Y
IDCJAC0009,16073,1969,12,12,0.0,,Y
IDCJAC0009,16073,1969,12,13,0.0,,Y
IDCJAC0009,16073,1969,12,14,0.0,,Y
IDCJAC0009,16073,1969,12,15,0.3,1,Y
IDCJAC0009,16073,1969,12,16,3.0,1,Y
IDCJAC0009,16073,1969,12,17,0.0,,Y
IDCJAC0009,16073,1969,12,18,0.0,,Y
IDCJAC0009,16073,1969,12,19,0.0,,Y
IDCJAC0009,16073,1969,12,20,0.0,,Y
IDCJAC0009,16073,1969,12,21,0.0,,Y
IDCJAC0009,16073,1969,12,22,0.0,,Y
IDCJAC0009,16073,1969,12,23,0.0,,Y
IDCJAC0009,16073,1969,12,24,0.0,,Y
IDCJAC0009,16073,1969,12,25,0.0,,Y
IDCJAC0009,16073,1969,12,26,0.0,,Y
IDCJAC0009,16073,1969,12,27,0.0,,Y
IDCJAC0009,16073,1969,12,28,0.0,,Y
IDCJAC0009,16073,1969,12,29,0.0,,Y
IDCJAC0009,16073,1969,12,30,0.0,,Y
IDCJAC0009,16073,1969,12,31,0.0,,Y
IDCJAC0009,16073,1970,01,01,0.0,,Y
IDCJAC0009,16073,1970,01,02,0.0,,Y
IDCJAC0009,16073,1970,01,03,0.0,,Y
IDCJAC0009,16073,1970,01,04,0.0,,Y
IDCJAC0009,16073,1970,01,05,0.0,,Y
IDCJAC0009,16073,1970,01,06,0.0,,Y
IDCJAC0009,16073,1970,01,07,0.0,,Y
IDCJAC0009,16073,1970,01,08,0.0,,Y
IDCJAC0009,16073,1970,01,09,0.0,,Y
IDCJAC0009,16073,1970,01,10,0.0,,Y
IDCJAC0009,16073,1970,01,11,0.0,,Y
IDCJAC0009,16073,1970,01,12,0.0,,Y
IDCJAC0009,16073,1970,01,13,0.0,,Y
IDCJAC0009,16073,1970,01,14,0.0,,Y
IDCJAC0009,16073,1970,01,15,0.0,,Y
IDCJAC0009,16073,1970,01,16,0.0,,Y
IDCJAC0009,16073,1970,01,17,0.0,,Y
IDCJAC0009,16073,1970,01,18,0.0,,Y
IDCJAC0009,16073,1970,01,19,0.0,,Y
IDCJAC0009,16073,1970,01,20,0.0,,Y
IDCJAC0009,16073,1970,01,21,0.0,,Y
IDCJAC0009,16073,1970,01,22,0.0,,Y
IDCJAC0009,16073,1970,01,23,0.0,,Y
IDCJAC0009,16073,1970,01,24,0.0,,Y
IDCJAC0009,16073,1970,01,25,0.0,,Y
IDCJAC0009,16073,1970,01,26,0.0,,Y
IDCJAC0009,16073,1970,01,27,0.0,,Y
IDCJAC0009,16073,1970,01,28,0.0,,Y
IDCJAC0009,16073,1970,01,29,0.0,,Y
IDCJAC0009,16073,1970,01,30,0.0,,Y
IDCJAC0009,16073,1970,01,31,0.0,,Y
