Year,Month,Day,Daily global solar exposure (MJ/m*m),Station
1995,12,16,28.8,Arkaroola
1995,12,17,21,Arkaroola
1995,12,18,34,Arkaroola
1995,12,19,34,Arkaroola
1995,12,20,33.3,Arkaroola
1995,12,21,30.2,Arkaroola
1995,12,22,6.6,Arkaroola
1995,12,23,33.4,Arkaroola
1995,12,24,34.6,Arkaroola
1995,12,25,34,Arkaroola
1995,12,26,23.4,Arkaroola
1995,12,27,24.7,Arkaroola
1995,12,28,29.8,Arkaroola
1995,12,29,32.9,Arkaroola
1995,12,30,23.7,Arkaroola
1995,12,31,9.2,Arkaroola
1996,01,01,28.8,Arkaroola
1996,01,02,27.7,Arkaroola
1996,01,03,34.2,Arkaroola
1996,01,04,34.5,Arkaroola
1996,01,05,33.1,Arkaroola
1996,01,06,31.5,Arkaroola
1996,01,07,24.9,Arkaroola
1996,01,08,31.9,Arkaroola
1996,01,09,32.3,Arkaroola
1996,01,10,33,Arkaroola
1996,01,11,33.3,Arkaroola
1996,01,12,33.4,Arkaroola
1996,01,13,33.8,Arkaroola
1996,01,14,33.1,Arkaroola
1996,01,15,29.3,Arkaroola
1996,01,16,22.6,Arkaroola
1996,01,17,19.3,Arkaroola
1996,01,18,25.9,Arkaroola
1996,01,19,25,Arkaroola
1996,01,20,28.9,Arkaroola
1996,01,21,30.1,Arkaroola
1996,01,22,33.6,Arkaroola
1996,01,23,31.6,Arkaroola
1996,01,24,33.1,Arkaroola
1996,01,25,33.3,Arkaroola
1996,01,26,31.9,Arkaroola
1996,01,27,32.2,Arkaroola
1996,01,28,25,Arkaroola
1996,01,29,32.6,Arkaroola
1996,01,30,31.7,Arkaroola
1996,01,31,31.4,Arkaroola
1996,02,01,33,Arkaroola
1996,02,02,31.4,Arkaroola
1996,02,03,30.5,Arkaroola
1996,02,04,29.7,Arkaroola
1996,02,05,30.4,Arkaroola
1996,02,06,28.7,Arkaroola
1996,02,07,28.5,Arkaroola
1996,02,08,18.1,Arkaroola
1996,02,09,27.8,Arkaroola
1996,02,10,30.5,Arkaroola
1996,02,11,31.2,Arkaroola
1996,02,12,32,Arkaroola
1996,02,13,32.4,Arkaroola
1996,02,14,30.2,Arkaroola
1996,02,15,31.4,Arkaroola
1996,02,16,29.3,Arkaroola
1996,02,17,30.9,Arkaroola
1996,02,18,30.8,Arkaroola
1996,02,19,29.2,Arkaroola
1996,02,20,26.9,Arkaroola
1996,02,21,28.6,Arkaroola
1996,02,22,24.1,Arkaroola
1996,02,23,23.1,Arkaroola
1996,02,24,12.5,Arkaroola
1996,02,25,16.7,Arkaroola
1996,02,26,24.4,Arkaroola
1996,02,27,17.4,Arkaroola
1996,02,28,25.4,Arkaroola
1996,02,29,27,Arkaroola
1996,03,01,27,Arkaroola
1996,03,02,28.5,Arkaroola
1996,03,03,27.9,Arkaroola
1996,03,04,NA,Arkaroola
1996,03,05,NA,Arkaroola
1996,03,06,23.8,Arkaroola
1996,03,07,22.8,Arkaroola
1996,03,08,25.9,Arkaroola
1996,03,09,27,Arkaroola
1996,03,10,26.4,Arkaroola
1996,03,11,26.3,Arkaroola
1996,03,12,NA,Arkaroola
1996,03,13,NA,Arkaroola
1996,03,14,NA,Arkaroola
1996,03,15,NA,Arkaroola
1996,03,16,24.5,Arkaroola
1996,03,17,21.4,Arkaroola
1996,03,18,23.1,Arkaroola
1996,03,19,22.9,Arkaroola
1996,03,20,23.8,Arkaroola
1996,03,21,24.1,Arkaroola
1996,03,22,24.2,Arkaroola
1996,03,23,23.9,Arkaroola
1996,03,24,23.5,Arkaroola
1996,03,25,21.7,Arkaroola
1996,03,26,22.3,Arkaroola
1996,03,27,22.2,Arkaroola
1996,03,28,21.6,Arkaroola
1996,03,29,20.6,Arkaroola
1996,03,30,18.1,Arkaroola
1996,03,31,20.5,Arkaroola
1996,04,01,20.7,Arkaroola
1996,04,02,21.8,Arkaroola
1996,04,03,21.5,Arkaroola
1996,04,04,20.9,Arkaroola
1996,04,05,20.9,Arkaroola
1996,04,06,20.3,Arkaroola
1996,04,07,18.3,Arkaroola
1996,04,08,16.5,Arkaroola
1996,04,09,21.1,Arkaroola
1996,04,10,21,Arkaroola
1996,04,11,21.2,Arkaroola
1996,04,12,14.7,Arkaroola
1996,04,13,19.5,Arkaroola
1996,04,14,19.4,Arkaroola
1996,04,15,17.5,Arkaroola
1996,04,16,17.9,Arkaroola
1996,04,17,12.1,Arkaroola
1996,04,18,18.7,Arkaroola
1996,04,19,18.9,Arkaroola
1996,04,20,18.7,Arkaroola
1996,04,21,17.9,Arkaroola
1996,04,22,18.4,Arkaroola
1996,04,23,16.3,Arkaroola
1996,04,24,17.7,Arkaroola
1996,04,25,17.8,Arkaroola
1996,04,26,17.6,Arkaroola
1996,04,27,NA,Arkaroola
1996,04,28,NA,Arkaroola
1996,04,29,16.1,Arkaroola
1996,04,30,15.9,Arkaroola
1996,05,01,15.1,Arkaroola
1996,05,02,15.1,Arkaroola
1996,05,03,6.7,Arkaroola
1996,05,04,11.2,Arkaroola
1996,05,05,5.8,Arkaroola
1996,05,06,12.6,Arkaroola
1996,05,07,16.2,Arkaroola
1996,05,08,16.4,Arkaroola
1996,05,09,16.3,Arkaroola
1996,05,10,15.6,Arkaroola
1996,05,11,15.5,Arkaroola
1996,05,12,14.9,Arkaroola
1996,05,13,12.6,Arkaroola
1996,05,14,14.7,Arkaroola
1996,05,15,15.3,Arkaroola
1996,05,16,13.8,Arkaroola
1996,05,17,12.8,Arkaroola
1996,05,18,10.5,Arkaroola
1996,05,19,2.6,Arkaroola
1996,05,20,14.1,Arkaroola
1996,05,21,13.1,Arkaroola
1996,05,22,13.8,Arkaroola
1996,05,23,13.6,Arkaroola
1996,05,24,13.7,Arkaroola
1996,05,25,13.9,Arkaroola
1996,05,26,13,Arkaroola
1996,05,27,11.4,Arkaroola
1996,05,28,13.9,Arkaroola
1996,05,29,13.7,Arkaroola
1996,05,30,12.1,Arkaroola
1996,05,31,13.2,Arkaroola
1996,06,01,6.5,Arkaroola
1996,06,02,6.2,Arkaroola
1996,06,03,8.6,Arkaroola
1996,06,04,7.7,Arkaroola
1996,06,05,5.3,Arkaroola
1996,06,06,13.2,Arkaroola
1996,06,07,10,Arkaroola
1996,06,08,11.3,Arkaroola
1996,06,09,13.1,Arkaroola
1996,06,10,13.2,Arkaroola
1996,06,11,13.3,Arkaroola
1996,06,12,8.2,Arkaroola
1996,06,13,9,Arkaroola
1996,06,14,12.4,Arkaroola
1996,06,15,12.7,Arkaroola
1996,06,16,11.3,Arkaroola
1996,06,17,12.4,Arkaroola
1996,06,18,12.6,Arkaroola
1996,06,19,11.4,Arkaroola
1996,06,20,8.9,Arkaroola
1996,06,21,8,Arkaroola
1996,06,22,3,Arkaroola
1996,06,23,8.3,Arkaroola
1996,06,24,12.5,Arkaroola
1996,06,25,12.4,Arkaroola
1996,06,26,12.7,Arkaroola
1996,06,27,12.6,Arkaroola
1996,06,28,11.9,Arkaroola
